Started at: Thu Oct 30 04:32:23 PM SAST 2025
LETS COOOK IT UPPP

======================================================================
NO EXISTING MODEL FOUND - STARTING FRESH TRAINING
======================================================================

Using cuda device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Wrapping the env in a VecTransposeImage.

======================================================================
STARTING NEW TRAINING
Target total: 1,000,000 steps
======================================================================

Logging to ./PPO_crafter_tensorboard/PPO_14
---------------------------------
| rollout/           |          |
|    policy_gradient_loss | -0.0939    |
|    value_loss           | 0.0595     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 175        |
|    ep_rew_mean          | 3.35       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 289        |
|    time_elapsed         | 6181       |
|    total_timesteps      | 591872     |
| train/                  |            |
|    approx_kl            | 0.12772068 |
|    clip_fraction        | 0.632      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.24      |
|    explained_variance   | 0.732      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.132     |
|    n_updates            | 2880       |
|    policy_gradient_loss | -0.103     |
|    value_loss           | 0.0518     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 175        |
|    ep_rew_mean          | 3.29       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 290        |
|    time_elapsed         | 6200       |
|    total_timesteps      | 593920     |
| train/                  |            |
|    approx_kl            | 0.12447359 |
|    clip_fraction        | 0.618      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.29      |
|    explained_variance   | 0.722      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.113     |
|    n_updates            | 2890       |
|    policy_gradient_loss | -0.103     |
|    value_loss           | 0.0505     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 175         |
|    ep_rew_mean          | 3.31        |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 291         |
|    time_elapsed         | 6221        |
|    total_timesteps      | 595968      |
| train/                  |             |
|    approx_kl            | 0.121491365 |
|    clip_fraction        | 0.611       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.28       |
|    explained_variance   | 0.771       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.165      |
|    n_updates            | 2900        |
|    policy_gradient_loss | -0.0983     |
|    value_loss           | 0.0498      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 177        |
|    ep_rew_mean          | 3.31       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 292        |
|    time_elapsed         | 6243       |
|    total_timesteps      | 598016     |
| train/                  |            |
|    approx_kl            | 0.10831143 |
|    clip_fraction        | 0.599      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.31      |
|    explained_variance   | 0.793      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.159     |
|    n_updates            | 2910       |
|    policy_gradient_loss | -0.0987    |
|    value_loss           | 0.0458     |
----------------------------------------
Eval num_timesteps=600000, episode_reward=3.50 +/- 1.74
Episode length: 167.40 +/- 46.21
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 167         |
|    mean_reward          | 3.5         |
| time/                   |             |
|    total_timesteps      | 600000      |
| train/                  |             |
|    approx_kl            | 0.101352975 |
|    clip_fraction        | 0.58        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.26       |
|    explained_variance   | 0.745       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.133      |
|    n_updates            | 2920        |
|    policy_gradient_loss | -0.0967     |
|    value_loss           | 0.0697      |
-----------------------------------------
New best mean reward!
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 177      |
|    ep_rew_mean     | 3.19     |
| time/              |          |
|    fps             | 95       |
|    iterations      | 293      |
|    time_elapsed    | 6272     |
|    total_timesteps | 600064   |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 177        |
|    ep_rew_mean          | 3.39       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 294        |
|    time_elapsed         | 6294       |
|    total_timesteps      | 602112     |
| train/                  |            |
|    approx_kl            | 0.13030307 |
|    clip_fraction        | 0.601      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.26      |
|    explained_variance   | 0.795      |
